Volumen,n_total,Modelo,Balanced_Accuracy,Recall_Isquemia,F1_Weighted,Costo_Total
Bajo,300,RegLog,0.8889,1.0,0.9458,6
Bajo,300,RegLog-L1,0.7778,0.6667,0.9283,11
Bajo,300,RegLog-L2,0.7778,0.6667,0.9283,11
Bajo,300,RegLog-L1-L2,0.7778,0.6667,0.9283,11
Medio,1000,RegLog,0.9313,0.9,0.9747,12
Medio,1000,RegLog-L1,0.8979,0.9,0.9587,18
Medio,1000,RegLog-L2,0.8757,0.9,0.9476,22
Medio,1000,RegLog-L1-L2,0.8757,0.9,0.9476,22
Alto,3000,RegLog,0.9208,0.8667,0.9746,40
Alto,3000,RegLog-L1,0.8475,0.7333,0.9549,75
Alto,3000,RegLog-L2,0.8505,0.7333,0.9551,74
Alto,3000,RegLog-L1-L2,0.8475,0.7333,0.9549,75
